日期,測站,AMB_TEMP,CO,NO,NO2,NOx,O3,PM10,PM2.5,RH,SO2,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2015/02/08,龍潭,24.49167,44.66667,18.16667,0,84.75,4.61667,194.59583,213.5,1.55417,0.99583,11.5375,0.42417,1.16087,12.33478
2015/02/09,龍潭,13.34783,45.04167,67.5,37.41667,0.475,81.41667,4.94783,62.75,64.41667,4.10417,3.77917,9.68333,0.25864,1.785
2015/02/10,龍潭,9.755,11.485,36.69565,38.52174,13.82609,0,76.16667,2.82727,63.16667,62.70833,4.9375,4.69583,12.25,0.39714
2015/02/11,龍潭,4.81875,15.9875,20.73125,26.7,34.13043,14.0,0,72.625,4.96316,85.08696,84.91304,2.77826,2.6087,13.99583
2015/02/11,龍潭,0.57292,9.605,25.75,35.3,19.94583,48.875,23.45833,0,75.04167,3.58889,218.45833,233.79167,1.42917,1.1875
2015/02/12,龍潭,14.625,0.6125,5.45417,25.58333,31.0,35.90417,93.20833,42.5,0,58.41667,4.4375,115.0,112.16667,2.00417
2015/02/13,龍潭,1.75417,15.97917,0.65417,6.72917,28.58333,35.29167,38.4875,79.25,35.375,0,50.875,3.72917,150.54167,137.91667
2015/02/14,龍潭,1.54583,1.19167,18.20833,0.77167,6.45417,30.04583,36.5,45.35417,87.41667,49.04167,0,55.29167,3.2375,193.41667
2015/02/15,龍潭,175.54167,1.5625,1.375,19.16667,0.60167,3.64167,21.16667,24.79167,43.70833,78.625,45.125,6.8,64.375,3.43333
2015/02/16,龍潭,172.20833,153.08333,2.0125,1.29583,19.10526,0.60294,5.02632,21.42632,26.41579,37.11765,53.7,26.3,4.4,79.05263
2015/02/17,龍潭,2.55556,82.66842,107.24,1.95,1.37895,18.625,0.67042,2.67727,14.35,17.01818,49.73913,75.875,39.95833,0
2015/02/18,龍潭,75.5,2.05417,60.41667,60.33333,3.21667,2.82083,16.75,0.47333,1.51667,7.25417,8.75833,52.0,100.41667,42.125
2015/02/19,龍潭,0,72.25,2.125,55.20833,54.66667,4.84583,4.62917,15.79167,0.35542,1.12083,5.5,6.66667,51.58333,62.25
2015/02/20,龍潭,30.58333,0,71.95833,2.025,57.83333,59.25,4.84583,4.73333,17.125,0.43958,3.64583,13.55,17.1625,30.72083
2015/02/21,龍潭,54.875,25.5,0,77.375,1.79167,201.125,204.0,1.34167,1.05417,19.83333,0.53792,2.11111,18.46111,20.50556
2015/02/22,龍潭,35.375,61.16667,32.54167,0.7,73.70833,2.29167,213.83333,207.125,1.39583,1.10417,18.25,0.565,3.57083,16.1
2015/02/23,龍潭,19.625,24.45833,71.125,35.58333,0.4,89.16667,2.2,56.925,51.90833,1.75,1.06667,17.08333,0.61792,4.95
2015/02/24,龍潭,15.87917,20.9375,15.675,41.58333,18.0,0.2,92.66667,1.4625,179.04167,169.29167,1.28333,0.8125,16.91667,0.61208
2015/02/25,龍潭,5.2875,20.38333,25.5625,21.79583,41.16667,17.29167,2.075,89.08333,2.3625,168.43333,143.34167,1.75,1.16667,18.79167
2015/02/25,龍潭,0.57708,5.15833,18.58333,23.79167,18.80417,54.0,21.16667,0,86.33333,1.9125,222.16667,233.08333,1.72083,1.5
2015/02/26,龍潭,16.84615,0.48833,3.03333,19.025,22.03333,25.0,47.5,19.64286,0.2,93.15385,2.95,107.51538,121.06667,2.32
2015/02/27,龍潭,1.52308,17.75,0.37625,3.88182,12.83182,16.77273,33.33333,31.45833,13.16667,0.3,90.125,2.5,112.41667,140.33333
2015/02/28,龍潭,2.6,1.75417,16.33333,0.4075,3.5125,13.67083,17.1875,28.70833,41.0,16.625,0.2,91.75,1.74167,111.25417
2015/03/01,龍潭,95.125,1.77083,1.06667,12.5,0.35417,2.60417,10.10833,12.6625,29.54167,31.20833,12.75,0.36,87.54167,1.7625
2015/03/02,龍潭,51.15833,53.83333,3.8125,3.1875,13.70833,0.61792,9.6375,17.62083,27.25417,21.08333,55.91667,26.79167,0,85.33333
2015/03/03,龍潭,2.2625,87.29167,89.95833,2.47917,2.35,18.625,0.56083,2.98696,16.92609,19.82174,37.18333,89.17391,39.13043,0
2015/03/04,龍潭,79.04167,3.4,198.91667,168.625,2.40417,1.875,13.41667,0.50375,1.16087,13.39565,14.46087,37.875,41.04167,18.25
2015/03/05,龍潭,0.25,87.0,2.79583,52.79167,52.75,5.44583,5.17917,15.0,0.56042,6.73043,23.65652,30.37826,21.50417,32.95833
2015/03/06,龍潭,13.29167,0.24,89.875,2.3875,82.34583,101.6,2.15,1.72083,14.625,0.39542,2.94583,17.14583,20.0875,27.91667
2015/03/07,龍潭,30.33333,9.58333,1.71429,90.5,2.76667,74.20833,88.375,2.66667,2.10833,15.29167,0.40125,3.85833,14.67083,18.49167
2015/03/08,龍潭,29.83333,30.25,12.70833,0.3,90.41667,2.99167,55.125,54.125,2.76667,2.5375,17.125,0.44625,3.5375,16.10833
2015/03/09,龍潭,19.65,26.19583,34.83333,12.66667,0.4,88.41667,1.8625,154.29167,151.70833,1.725,1.40833,16.16667,0.39917,2.78696
2015/03/10,龍潭,11.75652,14.53913,35.125,48.75,21.66667,0,82.29167,2.1125,105.83333,85.125,4.52917,4.0875,12.45833,0.32
2015/03/11,龍潭,1.57917,10.2125,11.8375,44.08333,57.875,25.0,2.275,84.125,1.77083,54.08333,53.91667,6.55833,6.47083,11.54167
2015/03/11,龍潭,0.33375,1.50455,16.22727,17.76818,34.16667,24.875,8.75,1.76667,93.16667,2.4,54.70833,54.25,3.9,3.5875
2015/03/12,龍潭,12.625,0.41043,3.045,19.675,22.615,33.6087,33.08696,12.52174,2.3,90.29167,2.90435,53.875,55.45833,2.52083
2015/03/13,龍潭,2.36667,17.45833,0.62,10.30833,22.83333,33.04167,26.575,53.0,19.79167,0,81.54167,2.375,182.54167,174.07083
2015/03/14,龍潭,1.25833,0.8125,19.58333,0.58375,4.33333,23.08333,27.54167,33.65833,80.83333,36.83333,0,80.83333,3.15833,193.1125
2015/03/15,龍潭,195.125,1.46667,0.93333,21.91667,0.63,4.40833,22.225,26.58333,31.17917,78.75,42.91667,0,76.875,2.95417
2015/03/16,龍潭,169.27083,182.66667,1.325,0.98333,22.375,0.85625,11.12917,30.79167,41.875,19.4375,101.54167,51.04167,0,81.875
2015/03/17,龍潭,5.42083,163.40417,161.625,1.33333,0.9375,23.58333,0.62083,5.99,19.525,25.6,25.31667,91.125,44.41667,0
2015/03/18,龍潭,81.25,3.58696,211.5,214.875,1.59167,1.37083,24.29167,0.31042,1.7125,11.81667,13.57083,31.08333,67.08333,24.45833
2015/03/19,龍潭,0.2,75.95833,2.8875,209.20833,205.67917,2.89583,2.64167,24.625,0.47833,4.62917,19.32083,23.90417,26.67083,71.54167
2015/03/20,龍潭,27.91667,0,70.83333,2.76667,165.5,166.0,2.44167,2.04583,21.70833,0.62208,2.2625,20.25,22.54167,25.20833
2015/03/21,龍潭,86.58333,33.79167,0.2,86.58333,3.48333,147.16667,149.375,1.66667,1.14167,18.70833,0.50375,2.31667,16.31667,18.61667
2015/03/22,龍潭,33.91667,55.29167,17.875,0.2,91.08333,3.3125,43.63333,60.41667,2.43333,1.99167,17.91667,0.44417,1.52917,8.91667
2015/03/23,龍潭,10.44583,61.95833,85.875,34.83333,0,76.25,2.65417,55.70833,55.25,5.3,5.05,16.33333,0.40636,1.18696
2015/03/24,龍潭,14.55652,15.60435,51.04348,63.43478,21.30435,2.70909,85.83333,2.58261,55.5,70.16667,3.85,3.23333,15.375,0.27125
2015/03/25,龍潭,3.13913,8.55217,11.7,49.16667,35.45833,10.66667,0.8,86.625,1.98333,56.58333,56.79167,7.64583,7.3125,13.79167
2015/03/25,龍潭,0.2525,2.275,12.275,14.51667,43.54167,24.0,7.75,1.58095,91.66667,1.68333,55.70833,54.08333,5.80833,5.62917
2015/03/26,龍潭,17.20833,0.67792,13.49583,27.8125,41.125,15.5375,30.5,11.54167,1.53333,92.66667,2.39167,150.125,167.575,0.9375
2015/03/27,龍潭,0.725,16.58333,0.54708,4.05417,23.49583,27.625,22.27917,34.75,13.125,1.58462,93.33333,2.02917,173.75,149.42917
2015/03/28,龍潭,1.42083,1.025,17.20833,0.5225,4.345,23.0,27.3,38.00833,49.08333,19.54167,0.2,71.33333,2.90833,59.20833
2015/03/29,龍潭,84.75,2.08333,1.66667,21.20833,0.57917,3.60833,19.075,22.75,39.35417,49.41667,24.79167,0,62.625,2.52083
2015/03/30,龍潭,169.91667,175.16667,1.35,1.1,23.25,0.59833,4.7,18.29091,22.90909,40.16667,60.875,27.20833,0,68.08333
2015/03/31,龍潭,3.12083,206.66667,211.125,1.3,1.03333,24.33333,0.46042,2.22174,12.88696,15.08696,29.74167,59.75,21.25,0
2015/04/01,龍潭,75.20833,3.1375,207.125,219.91667,1.97917,1.9,25.25,0.46708,4.75417,15.625,20.33333,26.18333,73.5,25.75
2015/04/02,龍潭,0.2,78.16667,2.52083,196.70833,211.16667,1.76667,1.57083,25.08333,0.375,3.14583,12.55,15.7625,23.12917,62.54167
2015/04/03,龍潭,22.66667,0,79.83333,2.35,223.875,230.5,2.15,2.0375,25.91667,0.39875,2.8375,14.95417,17.81667,25.5375
2015/04/04,龍潭,66.125,22.95833,0,74.79167,3.44583,208.91667,226.125,2.10417,1.75,26.375,0.40958,4.2125,14.06667,18.4625
